case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year,marked,plaintiff,defendant,plaintiff_size,defendant_size
"Cox Communications, Inc. v. Sony Music Entertainment (2026)",24-171,2026-03-25,Supreme Court of the United States,1,1000000000.0,1.0,https://www.courtlistener.com/opinion/10814782/cox-communications-inc-v-sony-music-entertainment/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,"Cox Communications, Inc.",Sony Music Entertainment,5.0,10.0
"Talley v. Earth Fare 2020, Inc. (N.C. 2026)",174A25,2026-03-20,Supreme Court of North Carolina,0,0.0,1.0,https://www.courtlistener.com/opinion/10811789/talley-v-earth-fare-2020-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Talley,"Earth Fare 2020, Inc.",1.0,5.0
Intuit v. FTC (5th Cir. 2026),24-60040,2026-03-20,Court of Appeals for the Fifth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10812852/intuit-v-ftc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Intuit,FTC,1.0,1.0
OLoughlin v. AESA Enterprises (Utah Ct. App. 2026),Case No. 20231088-CA,2026-03-19,Court of Appeals of Utah,1,409100.0,1.0,https://www.courtlistener.com/opinion/10812390/oloughlin-v-aesa-enterprises/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,OLoughlin,AESA Enterprises,1.0,1.0
Apple Inc. v. Itc (Fed. Cir. 2026),24-1285,2026-03-19,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10811193/apple-inc-v-itc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Apple Inc.,Itc,9.0,1.0
Trustees of Columbia University v. Gen Digital Inc. (Fed. Cir. 2026),24-1244,2026-03-11,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10807007/trustees-of-columbia-university-v-gen-digital-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Trustees of Columbia University,Gen Digital Inc.,5.0,5.0
"MKE Holdings, Ltd. and David W. Bergevin v. Kevin Schwartz (Del. Ch. 2026)",C.A. No. 2018-0729-BWD,2026-03-11,Court of Chancery of Delaware,1,98800000.0,,https://www.courtlistener.com/opinion/10807293/mke-holdings-ltd-and-david-w-bergevin-v-kevin-schwartz/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"MKE Holdings, Ltd. and David W. Bergevin",Kevin Schwartz,7.0,1.0
Trustees of Columbia University v. Gen Digital Inc. (Fed. Cir. 2026),24-1243,2026-03-11,Court of Appeals for the Federal Circuit,1,185112727.0,0.0,https://www.courtlistener.com/opinion/10807008/trustees-of-columbia-university-v-gen-digital-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Trustees of Columbia University,Gen Digital Inc.,5.0,5.0
Wahpekeche v. Pettigrew (10th Cir. 2026),23-6176,2026-03-11,Court of Appeals for the Tenth Circuit,0,0.0,,https://www.courtlistener.com/opinion/10807128/wahpekeche-v-pettigrew/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Wahpekeche,Pettigrew,1.0,1.0
Ronald W. Hein and Linda M. Hein v. Steven Paul Carlson and Paulette Joan Carlson; and Clarence Lee Daniels and Mary Jo Daniels (Wyo. 2026),S-25-0168,2026-03-10,Wyoming Supreme Court,0,0.0,1.0,https://www.courtlistener.com/opinion/10806577/ronald-w-hein-and-linda-m-hein-v-steven-paul-carlson-and-paulette-joan/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,Ronald W. Hein and Linda M. Hein,Steven Paul Carlson and Paulette Joan Carlson; and Clarence Lee Daniels and Mary Jo Daniels,1.0,1.0
