case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year
"Ronnie Page v. Siemens Energy and Automation, Inc. (Miss. 1996)",97-CA-00063-SCT,1996-12-10,Mississippi Supreme Court,0,0.0,0.0,https://www.courtlistener.com/opinion/861498/ronnie-page-v-siemens-energy-and-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1996
"Desai v. Siemens Medical Systems, Inc. (M.D. Fla. 1992)",91-144-CIV-T-17C,1992-05-29,"District Court, M.D. Florida",0,0.0,1.0,https://www.courtlistener.com/opinion/1883007/desai-v-siemens-medical-systems-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1992
"Banks v. Siemens Energy & Automation, Inc. (Miss. Ct. App. 1995)",No. 93-CC-01138-COA,1995-06-27,Court of Appeals of Mississippi,0,0.0,0.0,https://www.courtlistener.com/opinion/7756906/banks-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1995
"Industrial Mechanical, Inc. v. Siemens Energy & Automation, Inc. (Ga. Ct. App. 1997)",A97A1367,1997-12-05,Court of Appeals of Georgia,0,0.0,1.0,https://www.courtlistener.com/opinion/1341264/industrial-mechanical-inc-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1997
"Baker v. Siemens Energy & Automation, Inc. (S.D. Ohio 1993)",C-1-91-306,1993-04-12,"District Court, S.D. Ohio",0,0.0,1.0,https://www.courtlistener.com/opinion/1759665/baker-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1993
"Frank A. Caruso v. Siemens Business Communication Systems, Inc., No. 04-1478-Cv (2d Cir. 2004)",66,2004-12-09,Court of Appeals for the Second Circuit,0,0.0,,https://www.courtlistener.com/opinion/788623/frank-a-caruso-v-siemens-business-communication-systems-inc-no/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,2004
"Baker v. Siemens Energy & Automation, Inc. (S.D. Ohio 1993)",C-1-93-261,1993-11-10,"District Court, S.D. Ohio",0,0.0,1.0,https://www.courtlistener.com/opinion/2254970/baker-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1993
"Pardasani v. Siemens Energy & Automation, Inc. (1992)",No. 91-924,1992-01-21,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/9116868/pardasani-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1992
"Siemens Energy & Automation, Inc. v. Coleman Electrical Supply Co. (E.D.N.Y 1999)",Civ.A.98CV3416 (DGT),1999-04-23,"District Court, E.D. New York",1,144932.32,,https://www.courtlistener.com/opinion/2488045/siemens-energy-automation-inc-v-coleman-electrical-supply-co/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1999
"Parker v. Siemens-Allis, Inc. (E.D. Ark. 1985)",LR-C-83-203,1985-02-21,"District Court, E.D. Arkansas",0,0.0,,https://www.courtlistener.com/opinion/1734442/parker-v-siemens-allis-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1985
"Pardasani v. Siemens Energy & Automation, Inc. (1992)",No. 91-924,1992-01-21,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/9116869/pardasani-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1992
"Ronnie Page v. Siemens Energy and Automation, Inc. (Miss. 1996)",97-CA-00063-SCT,1996-12-10,Mississippi Supreme Court,0,0.0,,https://www.courtlistener.com/opinion/862577/ronnie-page-v-siemens-energy-and-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1996
"Siemens Components, Inc. v. Choi (In Re Choi) (Bankr. N.D. Cal. 1991)",12-50248,1991-12-20,"United States Bankruptcy Court, N.D. California",1,361654.03,,https://www.courtlistener.com/opinion/1910147/siemens-components-inc-v-choi-in-re-choi/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1991
"Telecomm Technical Services, Inc. v. Siemens Rolm Communications, Inc. (N.D. Ga. 1997)",Civil Action No. 1:95-CV-0649-WBH,1997-02-04,"District Court, N.D. Georgia",0,0.0,1.0,https://www.courtlistener.com/opinion/9049201/telecomm-technical-services-inc-v-siemens-rolm-communications-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1997
McDermond v. Siemens (Nev. 1980),11617,1980-02-28,Nevada Supreme Court,0,0.0,,https://www.courtlistener.com/opinion/1177550/mcdermond-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1980
"Cordis Corp. v. Siemens-Pacesetter, Inc. (S.D. Fla. 1987)",87-0398-CIV,1987-12-14,"District Court, S.D. Florida",0,0.0,,https://www.courtlistener.com/opinion/1583567/cordis-corp-v-siemens-pacesetter-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,1987
"Frank A. Caruso v. Siemens Business Communications Systems, Inc., Docket No. 04-1478-Cv (2d Cir. 2005)",164,2005-08-04,Court of Appeals for the Second Circuit,0,0.0,,https://www.courtlistener.com/opinion/791345/frank-a-caruso-v-siemens-business-communications-systems-inc-docket/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=13,2005
Siemens v. City of Richland (Wash. Ct. App. 1984),No. 6279-1-III,1984-12-13,Court of Appeals of Washington,0,0.0,1.0,https://www.courtlistener.com/opinion/6959410/siemens-v-city-of-richland/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1984
"Borschow Hospital & Medical Supplies, Inc. v. Burdick-Siemens Corp. (D.P.R. 1992)",Civ. No. 90-1379(PG),1992-07-02,"District Court, D. Puerto Rico",0,0.0,,https://www.courtlistener.com/opinion/9040551/borschow-hospital-medical-supplies-inc-v-burdick-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1992
"Den-Tal-Ez, Inc. v. Siemens Capital Corp. (Pa. 1989)",02312,1989-11-28,Supreme Court of Pennsylvania,0,0.0,1.0,https://www.courtlistener.com/opinion/2008678/den-tal-ez-inc-v-siemens-capital-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1989
"Fireman's Fund Insurance Companies v. Siemens Energy & Automation, Inc. (S.D.N.Y. 1996)",93 Civ. 4669 (LAK),1996-12-24,"District Court, S.D. New York",1,2892120.38,,https://www.courtlistener.com/opinion/2098423/firemans-fund-insurance-companies-v-siemens-energy-automation-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1996
Siemens v. Bergland (W.D. Wash. 1977),Civ. No. C-76-687M,1977-11-10,"District Court, W.D. Washington",1,159.38,1.0,https://www.courtlistener.com/opinion/8870114/siemens-v-bergland/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1977
Cincinnati Insurance Co. v. Siemens (Ohio Ct. App. 1984),L-83-370,1984-03-30,Ohio Court of Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/3975300/cincinnati-insurance-co-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1984
"John W. Umpleby v. Potter & Brumfield, Incorporated, a Siemens Company (7th Cir. 1995)",94-2322,1995-11-03,Court of Appeals for the Seventh Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/706955/john-w-umpleby-v-potter-brumfield-incorporated-a-siemens-company/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1995
"Plumber, Steamfitter & Shipfitter Industry Pension Plan & Trust v. Siemens Building Technologies Inc. (9th Cir. 2000)",No. 99-35758,2000-10-03,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/7082513/plumber-steamfitter-shipfitter-industry-pension-plan-trust-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,2000
United States v. Siemens Corp. (S.D.N.Y. 1980),80 Civ. 1435 (VLB),1980-03-20,"District Court, S.D. New York",1,390707.52,,https://www.courtlistener.com/opinion/1905325/united-states-v-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1980
"Siemens Energy & Automation, Inc. v. New Mexico Taxation & Revenue Department (N.M. Ct. App. 1994)",15398,1994-12-30,New Mexico Court of Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/1436506/siemens-energy-automation-inc-v-new-mexico-taxation-revenue/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1994
"Plumber, Steamfitter And Shipfitter Industry Pension Plan & Trust v. Siemens Building Technologies Incorporated (9th Cir. 2000)",99-35758,2000-10-03,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/770675/plumber-steamfitter-and-shipfitter-industry-pension-plan-trust-v/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,2000
Tanner v. Siemens Medical Systems (2d Cir. 1984),83-7799,1984-03-29,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/433974/tanner-v-siemens-medical-systems/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1984
"Borschow Hospital & Medical Supplies, Inc. v. Burdick-Siemens Corp. (D.P.R. 1992)",Civ. No. 90-1379(PG),1992-10-06,"District Court, D. Puerto Rico",0,0.0,0.0,https://www.courtlistener.com/opinion/9040552/borschow-hospital-medical-supplies-inc-v-burdick-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1992
"Siemens America, Inc. v. United States (Cust. Ct. 1980)",C.D. 4856; Consolidated Court No. 72-5-01093,1980-05-13,United States Customs Court,0,0.0,,https://www.courtlistener.com/opinion/8159205/siemens-america-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1980
"Siemens America, Inc. v. United States (Ct. Intl. Trade 1981)",Consolidated Court No. 72-5-01093,1981-10-07,United States Court of International Trade,0,0.0,1.0,https://www.courtlistener.com/opinion/6732371/siemens-america-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1981
"Siemens America, Inc. v. United States (1982)",No. 81-994,1982-01-11,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/9036530/siemens-america-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=14,1982
